Customer_ID result_rank provider_Nm product_name dummy_quote_value Sale_made Sale_source
37 1 Provider A Product 64 377.09 0 No Sale
37 2 Provider A Product 3160 60.4 0 No Sale
37 3 Provider A Product 56 309.12 0 No Sale
37 4 Provider A Product 552 224.3 0 No Sale
37 5 Provider A Product 3292 79.15 0 No Sale
37 6 Provider A Product 76 401.6 0 No Sale
37 7 Provider B Product 1412 263.22 0 No Sale
37 8 Provider A Product 84 525.59 0 No Sale
37 9 Provider B Product 3164 556.83 0 No Sale
57 1 Provider A Product 56 229.21 0 No Sale
57 2 Provider A Product 552 63.37 1 online
57 3 Provider A Product 84 651.47 0 No Sale
57 4 Provider B Product 3532 782.26 1 online
57 5 Provider B Product 1412 653.11 0 No Sale
57 6 Provider B Product 3164 698.66 0 No Sale
57 7 Provider B Product 1412 58.23 0 No Sale
57 8 Provider B Product 3164 239.25 0 No Sale
60 1 Provider A Product 3160 174.15 0 No Sale
60 2 Provider A Product 3292 576.06 0 No Sale
60 3 Provider A Product 64 176.73 0 No Sale
60 4 Provider A Product 56 445.28 0 No Sale
60 5 Provider B Product 3532 194.45 0 No Sale
60 6 Provider A Product 552 76.08 0 No Sale
60 7 Provider A Product 76 660.54 1 callcentre
60 8 Provider B Product 1412 186.79 0 No Sale
60 9 Provider A Product 84 60.69 0 No Sale
60 10 Provider B Product 3164 801.48 0 No Sale
113 1 Provider A Product 3160 779.05 0 No Sale
113 2 Provider A Product 56 60.36 0 No Sale
113 3 Provider A Product 552 589.12 0 No Sale
113 4 Provider A Product 84 963.33 0 No Sale
113 5 Provider B Product 1412 726.42 0 No Sale
113 6 Provider B Product 3164 986.99 0 No Sale
176 1 Provider A Product 56 270.89 0 No Sale
176 2 Provider A Product 552 28.54 0 No Sale
176 3 Provider A Product 68 270.98 0 No Sale
176 4 Provider A Product 60 10.47 0 No Sale
176 5 Provider A Product 88 98.49 0 No Sale
176 6 Provider A Product 84 375.51 0 No Sale
176 7 Provider B Product 1412 605.62 0 No Sale
191 1 Provider A Product 3160 953.64 0 No Sale
191 2 Provider A Product 3292 1061.46 1 callcentre
191 3 Provider A Product 56 501.07 0 No Sale
191 4 Provider A Product 552 999.73 0 No Sale
191 5 Provider A Product 64 1429.59 0 No Sale
191 6 Provider A Product 76 1476.19 0 No Sale
191 7 Provider A Product 84 695.74 0 No Sale
191 8 Provider B Product 3532 1478.59 0 No Sale
191 9 Provider B Product 3164 1019.77 0 No Sale
191 10 Provider B Product 1412 851.34 0 No Sale
195 1 Provider A Product 3160 45.3 0 No Sale
195 2 Provider A Product 56 39.72 0 No Sale
195 3 Provider A Product 552 147.74 0 No Sale
195 4 Provider A Product 84 81.28 0 No Sale
195 5 Provider B Product 1412 285.02 0 No Sale
195 6 Provider B Product 3164 370.79 0 No Sale
205 1 Provider B Product 3164 870.43 1 online
205 2 Provider A Product 3160 32.81 0 No Sale
205 3 Provider B Product 1412 159.18 0 No Sale
